id,period,duration,depth,steff,srad,slogg,model_snr,ra,dec,disposition,source
1016.01,12.6889415,7.9201001,3232.8527885,7601.0,1.53641,4.31,1158.1310368,116.110771,-36.098285,FALSE POSITIVE,tess
10160922,87.487573,5.881,528.7,5774.0,0.818,4.567,8.4,298.31586,47.105091,CANDIDATE,kepler
10161534,198.232389,1.919,416.4,6263.0,1.113,4.382,5.7,298.49445,47.187271,FALSE POSITIVE,kepler
10163066,462.12345,8.46,699.0,4547.0,0.747,4.559,6.9,298.90012,47.146481,FALSE POSITIVE,kepler
10163067,25.9136674,10.498,109.7,6167.0,2.346,3.804,16.1,298.9006,47.107769,CANDIDATE,kepler
10164018,8.5412411,3.654,298.8,5602.0,0.732,4.614,10.7,299.16739,47.185692,FALSE POSITIVE,kepler
10166274,3.353732008,1.4598,1264.7,3789.0,0.46,4.781,47.8,299.83041,47.157459,CONFIRMED,kepler
10166274,6.877446033,1.3692,1632.3,3789.0,0.46,4.781,39.6,299.83041,47.157459,CONFIRMED,kepler
10166274,28.46464804,2.6657,1629.8,3789.0,0.46,4.781,28.9,299.83041,47.157459,CONFIRMED,kepler
1017.01,1.10422,2.37,14177.7,6995.2,1.61,4.07,3926.0,124.726411,-37.78325,FALSE POSITIVE,tess
1018.01,4.95912,2.509,7440.0,5889.0,2.0,3.86,1419.0,111.716019,-50.266567,FALSE POSITIVE,tess
10186761,75.636309,2.588,174.6,6072.0,0.994,4.467,6.0,281.32047,47.214809,CANDIDATE,kepler
10186945,0.793663156,0.8244,186.2,5077.0,0.825,4.533,23.7,281.44067,47.246471,FALSE POSITIVE,kepler
10187017,5.28691996,2.579,41.5,4900.0,0.741,4.602,15.8,281.48273,47.208031,CONFIRMED,kepler
10187017,7.07136119,2.757,65.7,4900.0,0.741,4.602,22.4,281.48273,47.208031,CONFIRMED,kepler
10187017,10.31174786,3.1818,275.9,4900.0,0.741,4.602,81.7,281.48273,47.208031,CONFIRMED,kepler
10187017,16.145671932,3.7236,941.1,4900.0,0.741,4.602,242.7,281.48273,47.208031,CONFIRMED,kepler
10187017,22.4098677,2.271,69.8,4900.0,0.741,4.602,11.9,281.48273,47.208031,FALSE POSITIVE,kepler
10187017,27.4536146,3.747,136.4,4900.0,0.741,4.602,27.5,281.48273,47.208031,CONFIRMED,kepler
10187159,7.96431492,1.5342,746.0,5185.0,0.91,4.44,44.3,281.58292,47.233631,CONFIRMED,kepler
10187563,373.60683,8.752,534.8,6184.0,1.038,4.448,9.3,281.86789,47.256649,FALSE POSITIVE,kepler
